
[2] Neutron Bomb
  45.45% | -8500 ms | vs [46] Azura Burst
  44.38% | -1400 ms | vs [30] Breakthrough
  44.00% | 4400 ms | vs [29] Christmas Eve
  42.77% | -7200 ms | vs [12] Ion Blaster
  39.89% | -2400 ms | vs [16] Strobing Willow
  37.93% | -1100 ms | vs [21] Peace Out
  33.33% | -3400 ms | vs [3] Occupy Mars
  33.33% | -100 ms | vs [14] Star Chaser
  33.33% | -9200 ms | vs [24] Silver Screen
  33.33% | -5700 ms | vs [48] Howling Nishiki
  33.33% | -1000 ms | vs [52] Flourescent
  33.33% | -700 ms | vs [53] MOAB 9S
  31.54% | -6700 ms | vs [1] Turn it Loose
  31.28% | -2900 ms | vs [54] Blue Jacket
  30.77% | -5200 ms | vs [20] Hot Hot Hot
  30.70% | -8200 ms | vs [58] Wild Horses
  30.00% | 4400 ms | vs [28] Courageous!
  30.00% | -3600 ms | vs [56] Thirsty Thursday
  29.02% | -8300 ms | vs [26] Color Storm
  25.19% | -3300 ms | vs [22] Colorful Whirlwind
  22.15% | -9300 ms | vs [23] City Crasher
  21.10% | -9900 ms | vs [2] Neutron Bomb
  19.05% | -9100 ms | vs [15] Super Crackle Rainbow
  18.57% | -9400 ms | vs [47] Azurallure
  17.51% | -2700 ms | vs [18] Hit the Road, Jack
  16.67% | -3200 ms | vs [13] Saturday Night Special
  13.16% | 2400 ms | vs [19] High Falutin
  12.30% | -8000 ms | vs [17] Deep Ocean
  9.94% | 2700 ms | vs [11] Fiesta 99
  9.09% | -6400 ms | vs [31] Naughty or Nice
  8.33% | -8500 ms | vs [32] Evil Priest
  5.54% | -6200 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All
  0.00% | 0 ms | vs [49] No Way!

[58] Wild Horses
  49.92% | -8700 ms | vs [13] Saturday Night Special
  48.84% | -8100 ms | vs [2] Neutron Bomb
  43.53% | 3600 ms | vs [12] Ion Blaster
  42.58% | -2900 ms | vs [15] Super Crackle Rainbow
  38.83% | 5200 ms | vs [22] Colorful Whirlwind
  38.10% | -2300 ms | vs [26] Color Storm
  38.06% | -1800 ms | vs [1] Turn it Loose
  37.88% | 4300 ms | vs [56] Thirsty Thursday
  37.62% | -3400 ms | vs [3] Occupy Mars
  36.36% | 1700 ms | vs [23] City Crasher
  33.33% | -600 ms | vs [20] Hot Hot Hot
  33.33% | 2500 ms | vs [46] Azura Burst
  33.12% | -3500 ms | vs [14] Star Chaser
  32.90% | 1600 ms | vs [52] Flourescent
  32.82% | 7900 ms | vs [29] Christmas Eve
  32.60% | 300 ms | vs [21] Peace Out
  32.15% | 8400 ms | vs [16] Strobing Willow
  31.71% | 2900 ms | vs [17] Deep Ocean
  30.96% | -5300 ms | vs [18] Hit the Road, Jack
  30.70% | 8200 ms | vs [59] Big Color
  28.57% | 1500 ms | vs [47] Azurallure
  27.78% | -6700 ms | vs [24] Silver Screen
  27.78% | 1100 ms | vs [30] Breakthrough
  27.78% | -6300 ms | vs [53] MOAB 9S
  27.74% | 2300 ms | vs [57] Colorful Skies
  27.42% | -5400 ms | vs [28] Courageous!
  23.15% | -1000 ms | vs [19] High Falutin
  22.22% | 300 ms | vs [48] Howling Nishiki
  16.67% | -200 ms | vs [11] Fiesta 99
  16.67% | 0 ms | vs [32] Evil Priest
  16.67% | 8200 ms | vs [54] Blue Jacket
  16.52% | -10000 ms | vs [31] Naughty or Nice
  11.11% | -9200 ms | vs [49] No Way!
  10.22% | 4500 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All

[16] Strobing Willow
  47.69% | -1200 ms | vs [52] Flourescent
  45.27% | -4300 ms | vs [46] Azura Burst
  40.00% | 400 ms | vs [3] Occupy Mars
  40.00% | -4700 ms | vs [14] Star Chaser
  40.00% | -4000 ms | vs [30] Breakthrough
  40.00% | -1700 ms | vs [56] Thirsty Thursday
  39.89% | 2400 ms | vs [59] Big Color
  39.61% | -1200 ms | vs [57] Colorful Skies
  38.04% | -1400 ms | vs [28] Courageous!
  37.58% | 4200 ms | vs [21] Peace Out
  32.15% | -8400 ms | vs [58] Wild Horses
  30.77% | -9100 ms | vs [20] Hot Hot Hot
  30.00% | -8600 ms | vs [24] Silver Screen
  30.00% | 900 ms | vs [29] Christmas Eve
  30.00% | -9700 ms | vs [48] Howling Nishiki
  30.00% | -8300 ms | vs [53] MOAB 9S
  30.00% | 2100 ms | vs [54] Blue Jacket
  28.57% | -500 ms | vs [12] Ion Blaster
  28.57% | -7000 ms | vs [15] Super Crackle Rainbow
  27.27% | -7900 ms | vs [31] Naughty or Nice
  27.16% | -5700 ms | vs [13] Saturday Night Special
  26.67% | -6700 ms | vs [23] City Crasher
  26.41% | -5100 ms | vs [2] Neutron Bomb
  25.96% | -7500 ms | vs [22] Colorful Whirlwind
  25.00% | 5800 ms | vs [1] Turn it Loose
  25.00% | 0 ms | vs [26] Color Storm
  20.67% | -1400 ms | vs [17] Deep Ocean
  18.18% | -3100 ms | vs [18] Hit the Road, Jack
  17.18% | -5300 ms | vs [47] Azurallure
  13.16% | -5500 ms | vs [19] High Falutin
  9.30% | 3800 ms | vs [11] Fiesta 99
  8.33% | -9600 ms | vs [32] Evil Priest
  6.79% | -8100 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All
  0.00% | 0 ms | vs [49] No Way!

[52] Flourescent
  47.69% | 1200 ms | vs [16] Strobing Willow
  41.67% | 1700 ms | vs [3] Occupy Mars
  41.67% | 7100 ms | vs [30] Breakthrough
  41.67% | -1500 ms | vs [56] Thirsty Thursday
  41.59% | 3600 ms | vs [12] Ion Blaster
  40.57% | 6500 ms | vs [46] Azura Burst
  38.46% | -4000 ms | vs [20] Hot Hot Hot
  37.80% | -3400 ms | vs [21] Peace Out
  33.33% | -3500 ms | vs [1] Turn it Loose
  33.33% | -3600 ms | vs [14] Star Chaser
  33.33% | -100 ms | vs [28] Courageous!
  33.33% | 2200 ms | vs [54] Blue Jacket
  33.33% | 6200 ms | vs [57] Colorful Skies
  33.33% | 1000 ms | vs [59] Big Color
  32.96% | 2700 ms | vs [53] MOAB 9S
  32.90% | -1600 ms | vs [58] Wild Horses
  32.66% | -6800 ms | vs [13] Saturday Night Special
